fold,experiment,k_features,C,balanced_accuracy,macro_f1,negative_log_likelihood
1,video_raw,16,0.01,0.44311145510835914,0.44367816091954015,0.7299020979619922
1,video_raw,16,0.1,0.4988390092879257,0.4977168949771689,0.8060940640597752
1,video_raw,16,1.0,0.48568111455108365,0.48413793103448277,0.9362206747390496
1,video_raw,32,0.01,0.4659442724458205,0.46370530877573135,0.7393225266873723
1,video_raw,32,0.1,0.47407120743034054,0.46964285714285714,0.8234513205830177
1,video_raw,32,1.0,0.5,0.4810875718329187,1.0247631606856662
1,video_raw,64,0.01,0.4493034055727554,0.4391150289516895,0.7574705571847
1,video_raw,64,0.1,0.4674922600619195,0.46265210054178874,0.8449809389005827
1,video_raw,64,1.0,0.45433436532507737,0.4485973089438044,1.2720752316425525
1,video_trial_delta,16,0.01,0.429953560371517,0.43056943056943053,0.7277667203275824
1,video_trial_delta,16,0.1,0.4988390092879257,0.4977168949771689,0.8113970200080811
1,video_trial_delta,16,1.0,0.47755417956656343,0.47721554375174724,0.9411956813664453
1,video_trial_delta,32,0.01,0.4725232198142415,0.47052947052947053,0.7358620131012497
1,video_trial_delta,32,0.1,0.4643962848297214,0.4639080459770115,0.8083083802130602
1,video_trial_delta,32,1.0,0.510061919504644,0.5017319477751132,1.0081056097041614
1,video_trial_delta,64,0.01,0.4872291021671826,0.48356807511737093,0.7411828529728369
1,video_trial_delta,64,0.1,0.49226006191950467,0.4909292854498334,0.7911687172207997
1,video_trial_delta,64,1.0,0.5085139318885449,0.5034308414590104,1.079745925603251
1,video_water_delta,16,0.01,0.4736842105263158,0.4505122343578021,0.7188804669989203
1,video_water_delta,16,0.1,0.46904024767801855,0.4607843137254902,0.8156133947500196
1,video_water_delta,16,1.0,0.44465944272445823,0.4438425424340917,0.9964082299141146
1,video_water_delta,32,0.01,0.5030959752321982,0.47200000000000003,0.7412347426106205
1,video_water_delta,32,0.1,0.44775541795665635,0.44152661064425774,0.8716919066074681
1,video_water_delta,32,1.0,0.42801857585139313,0.42010197908564517,1.294549109178177
1,video_water_delta,64,0.01,0.46904024767801855,0.4607843137254902,0.7766649479007487
1,video_water_delta,64,0.1,0.429953560371517,0.43056943056943053,1.1235091763553302
1,video_water_delta,64,1.0,0.44311145510835914,0.44367816091954015,2.1257098242425045
2,video_raw,16,0.01,0.5123809523809524,0.4825268817204301,0.7109667572994913
2,video_raw,16,0.1,0.5314285714285714,0.5111111111111112,0.7709157903987244
2,video_raw,16,1.0,0.4961904761904762,0.48108757183291884,0.9333369113291513
2,video_raw,32,0.01,0.46285714285714286,0.4427558257345492,0.7052721809966719
2,video_raw,32,0.1,0.5323809523809524,0.5063923461180256,0.7763123362042138
2,video_raw,32,1.0,0.5466666666666666,0.5170550489699426,1.0364556920751828
2,video_raw,64,0.01,0.5295238095238095,0.5185574229691877,0.7021895507503396
2,video_raw,64,0.1,0.5714285714285714,0.5570728291316527,0.7904786397468245
2,video_raw,64,1.0,0.5485714285714286,0.5431563741422896,1.2350737015731097
2,video_trial_delta,16,0.01,0.4638095238095238,0.43759953063448165,0.731500608792191
2,video_trial_delta,16,0.1,0.49047619047619045,0.46913893827787667,0.8061437240164075
2,video_trial_delta,16,1.0,0.4838095238095238,0.4613306315433975,0.9142284878943849
2,video_trial_delta,32,0.01,0.48857142857142855,0.47714112868377845,0.7342739094801702
2,video_trial_delta,32,0.1,0.5019047619047619,0.49193899782135075,0.8201056582413282
2,video_trial_delta,32,1.0,0.5714285714285714,0.5570728291316527,1.0733802920702695
2,video_trial_delta,64,0.01,0.5704761904761905,0.5603517186250999,0.7133301295297724
2,video_trial_delta,64,0.1,0.5771428571428572,0.5678571428571428,0.7811402584101149
2,video_trial_delta,64,1.0,0.5971428571428572,0.5904095904095904,1.1320165673142495
2,video_water_delta,16,0.01,0.47523809523809524,0.4622180289904795,0.7339815206149619
2,video_water_delta,16,0.1,0.4561904761904762,0.43494736842105264,0.8606667542033609
2,video_water_delta,16,1.0,0.4780952380952381,0.4479759116761459,1.0263119007965111
2,video_water_delta,32,0.01,0.4523809523809524,0.44859730894380445,0.7229049661841787
2,video_water_delta,32,0.1,0.5228571428571429,0.5111111111111111,0.8183933400360079
2,video_water_delta,32,1.0,0.5457142857142857,0.5221058011755686,1.178401803337386
2,video_water_delta,64,0.01,0.46,0.4535947712418301,0.7158951799266436
2,video_water_delta,64,0.1,0.5352380952380952,0.5285714285714285,0.866415042014341
2,video_water_delta,64,1.0,0.5,0.4963641260436305,1.4358234993805985
3,video_raw,16,0.01,0.4114285714285714,0.40819160013884065,0.7367124639461127
3,video_raw,16,0.1,0.4180952380952381,0.4152505446623094,0.8646682581858807
